gc,gf,gsm,G,Gc,Gf,Gstm
31,12,43,0.271822031255171,-0.11694083132347,0.117885623289481,0.782259417322169
15,26,25,-1.10608657027831,-1.14773078476331,1.5782672247827,-0.181295914472064
40,43,28,1.0518618736955,0.49454313534373,0.923037099148021,-0.327268727053669
36,28,60,1.04867461729298,-0.225783373536515,0.43907794755962,1.95996306950157
29,43,24,0.297698714896019,-0.588286720337183,1.10452912966898,-0.429613988087418
26,39,23,-0.404886781710355,-0.149725273786216,2.24270511943939,-0.658346746441666
28,38,20,0.145756874098593,-0.496166394705615,-0.641379149645264,-0.802436746047282
44,42,22,1.34073870893539,0.800092089092225,0.383033627011695,-0.529984725724547
30,26,19,-0.0145256177790977,0.0496040319086503,-0.722971381327866,-0.829225864823468
31,8,26,-0.404209691691025,0.772251927220413,-0.639298587824725,-0.0722107926388447
38,11,39,0.308079116471421,1.09198800300895,-0.874788748246869,1.16309250990921
42,27,36,0.961753721415161,0.950865125526997,-0.488216246773294,0.641429199879406
25,29,13,-0.463289861534403,-0.292053636484583,-0.150631421790288,-1.27450121305884
38,18,25,0.710996856910791,0.578404802947462,1.44685517004853,-0.191287946450689
10,28,36,-1.76755476928206,-1.26453996050714,0.262404072059634,0.646796418450109
22,27,23,-1.18977483456586,0.135511776243557,0.484582981476917,-0.761952686137729
24,3,18,-0.993299409081832,0.305112925512861,-1.03333628763999,-0.78363166697419
17,6,3,-1.41482094129782,-0.435873043724878,0.0914000287533387,-2.03999475772683
31,24,15,0.068974003309266,0.197058922260602,-0.753621456243293,-1.27517019367418
33,42,42,0.316452857228063,0.199933813179719,1.02497807975954,0.650542017421569
36,16,43,0.685924290365564,0.245760703948894,0.0798379574598199,1.02714454915468
9,23,44,-2.36929836512526,-0.686811762534911,1.38938104874198,1.78655679677943
34,16,22,0.565214893873927,0.0812978334473869,-0.321224415629913,-0.615042724480967
41,15,44,0.832490151640233,0.908020487805452,0.00530350073337461,1.50231713558375
32,16,19,0.0996376141450364,0.310147552001582,0.276866978247032,-0.316439993348211
39,8,25,0.437889707878498,1.11099698928651,-1.36392498170399,-0.137765773323976
26,26,14,-0.377570294245818,-0.170566807909791,0.795873208154301,-1.05919755942024
18,15,24,-0.733242331063438,-1.17996188513795,1.41474419098016,-0.529979273360051
38,46,33,0.918142309677962,0.28206567781296,0.899904709831302,0.0356316417481496
45,12,38,1.23358132370006,1.11199403941788,-0.718907980839341,0.239740785095223
34,39,31,0.217423774168127,0.492314260369324,-0.832061884208465,0.33105426574787
30,21,21,-0.618149589907978,0.78190338414502,-0.646511710455116,-0.855597814296257
25,48,42,-0.0277038568203186,-0.782679642681893,0.802713580606667,0.564431360735735
18,18,45,-1.56446971403638,-0.023532244199948,-0.774000664994298,1.82095604709118
35,24,25,0.70289402444373,0.0627950661340484,0.550103918843948,-0.134636877623126
35,14,23,0.414902805102094,0.420725325969643,4.36506763580684e-4,-0.541319837813355
39,14,55,0.868752949735009,0.561792771323235,-0.47379050844157,1.75130818163274
27,25,23,-0.187507637176034,-0.269818475346027,-0.152550800920241,-0.384338051183524
36,48,48,1.12958713869232,-0.338080022741465,-1.40069110697188,1.10011946857845
42,42,29,1.16358167644444,0.684442387774128,0.884197764661651,-0.0104561974932939
24,30,9,-0.866933128617172,0.0977620900481735,0.427940755046976,-1.51150184965883
37,7,60,0.391218308175379,0.838183127639024,-1.81514790929948,2.1921963508254
38,19,29,0.362555968843029,1.02254852849046,-0.465096857197152,0.118880073354949
39,52,34,1.13817087492795,0.20005510993833,-0.467171925493294,0.523963184642
14,21,43,-1.60487252901005,-0.779814421439145,-0.314911040740369,0.949496253767014
38,20,40,0.793370382611675,0.464245869734685,0.466550916958457,0.953723152194751
42,12,28,0.989422268162748,0.892458745963308,-1.00652954503259,-0.220658264326581
24,15,27,-0.508989638284536,-0.399953968995068,0.897752963603927,0.191444586692677
