obs_gc1,obs_gc2,obs_gc3,obs_gf1,obs_gf2,obs_gf3,obs_gstm1,obs_gstm2,obs_gstm3
12,10,9,8,4,0,14,14,15
5,3,7,10,6,10,11,7,7
14,15,11,12,6,25,8,10,10
14,12,10,12,5,11,20,18,22
14,9,6,9,6,28,9,6,9
9,10,7,8,8,23,6,11,6
11,9,8,12,2,24,6,8,6
17,16,11,13,5,24,7,12,3
12,10,8,7,2,17,6,8,5
9,13,9,6,2,0,11,10,5
14,13,11,6,2,3,18,16,5
15,16,11,11,3,13,14,15,7
11,8,6,5,3,21,4,5,4
14,13,11,11,7,0,10,10,5
4,3,3,4,3,21,16,8,12
8,8,6,2,4,21,3,20,0
8,7,9,1,1,1,7,7,4
6,5,6,3,3,0,0,2,1
11,9,11,7,2,15,3,7,5
12,11,10,6,6,30,13,14,15
13,13,10,12,4,0,16,15,12
3,4,2,4,5,14,22,20,2
12,11,11,13,3,0,7,9,6
16,15,10,11,4,0,19,20,5
11,11,10,12,4,0,11,7,1
13,15,11,7,1,0,11,8,6
10,8,8,7,5,14,6,4,4
9,4,5,9,6,0,7,11,6
15,13,10,9,6,31,10,11,12
17,17,11,6,3,3,10,14,14
13,11,10,5,2,32,14,8,9
11,13,6,2,2,17,3,18,0
9,8,8,11,5,32,12,15,15
6,4,8,3,1,14,22,20,3
14,10,11,12,5,7,11,8,6
15,9,11,5,4,5,7,11,5
13,15,11,11,3,0,19,19,17
11,9,7,9,3,13,9,9,5
15,11,10,13,1,34,15,17,16
16,15,11,12,6,24,10,13,6
8,9,7,4,4,22,3,4,2
11,15,11,7,0,0,22,19,19
14,13,11,4,3,12,12,10,7
15,13,11,13,3,36,15,8,11
5,6,3,2,2,17,16,13,14
7,7,5,2,2,0,11,10,4
15,12,11,10,5,5,16,15,9
15,17,10,10,2,0,9,10,9
10,8,6,10,5,0,13,11,3
12,9,6,13,5,16,10,11,1
4,8,10,1,1,17,19,7,4
15,16,11,11,7,28,8,9,6
8,10,6,5,5,23,20,19,2
4,9,3,3,1,11,22,20,1
13,9,9,6,2,16,7,11,4
7,10,7,8,3,27,14,10,4
13,8,7,4,3,26,8,7,5
12,10,9,6,2,15,11,10,3
6,4,1,9,3,18,19,17,12
10,11,6,12,5,0,10,10,6
16,16,10,13,3,0,9,12,10
16,16,11,8,4,9,19,9,14
11,11,5,11,4,0,13,15,10
16,6,10,9,4,24,22,20,7
11,9,11,6,3,26,10,14,7
14,14,10,8,0,0,13,11,13
15,15,11,11,3,0,15,13,8
11,6,7,10,0,0,6,7,3
12,9,9,9,1,0,9,9,7
14,12,11,11,4,31,12,14,10
15,12,10,11,2,0,14,13,5
15,17,10,13,4,0,16,13,12
10,10,8,7,3,9,6,6,4
10,10,7,9,2,32,13,11,4
5,7,5,7,5,11,22,20,1
15,15,9,11,3,0,12,10,4
15,16,10,9,2,2,19,13,4
12,9,8,12,5,0,8,6,6
3,2,2,6,3,11,22,19,3
10,9,7,8,5,0,8,9,3
10,7,6,9,2,23,15,11,13
8,9,6,11,7,0,8,7,4
8,8,5,6,2,18,21,20,14
12,8,10,10,2,17,8,7,5
13,13,10,13,7,41,10,16,7
13,11,7,12,5,24,10,10,6
15,14,9,13,3,38,18,16,9
8,4,2,7,3,9,3,2,0
11,12,9,11,3,20,15,15,19
12,11,10,13,5,40,7,11,7
2,0,1,8,1,14,12,19,1
6,6,7,8,2,35,8,11,8
9,6,8,3,1,15,3,4,0
4,5,7,1,1,24,5,6,12
17,13,10,13,6,16,8,11,9
15,15,8,9,5,0,6,8,5
6,8,6,4,3,9,18,11,15
16,16,11,11,3,24,6,2,7
9,8,5,6,4,7,20,16,9
10,6,5,3,1,0,6,12,5
6,5,5,5,2,0,1,9,3
15,12,10,11,5,0,7,13,8
9,6,7,5,3,13,18,15,19
9,8,9,10,0,12,12,12,12
17,14,11,12,7,14,5,6,6
7,8,7,11,8,13,6,7,6
6,4,3,2,1,7,20,20,1
9,5,6,4,1,29,14,14,10
14,10,10,11,1,0,7,6,6
14,14,11,7,1,0,8,12,9
10,8,9,8,2,27,6,5,1
9,11,8,12,6,21,10,15,11
13,10,8,12,2,40,9,14,10
12,8,8,8,3,0,4,6,4
13,12,7,13,7,26,4,9,10
5,6,5,4,4,3,5,5,2
4,6,1,1,1,12,17,0,0
16,15,11,12,4,0,11,8,9
12,12,9,13,2,11,12,15,8
9,6,5,9,1,15,13,16,11
13,15,9,9,3,11,13,12,15
8,7,6,10,2,0,2,6,3
14,11,8,7,6,24,13,3,6
14,13,10,12,4,0,18,13,3
17,16,11,12,8,40,21,16,12
8,7,4,4,3,10,0,6,2
13,9,9,7,0,22,8,15,8
15,11,7,10,1,0,10,11,9
16,11,10,13,6,16,8,9,7
12,12,9,13,6,24,14,10,10
11,13,9,8,5,29,13,16,11
10,10,8,7,2,22,7,9,5
12,7,5,11,5,17,21,16,8
16,13,11,13,6,35,6,10,9
9,10,8,12,4,0,8,9,1
13,12,9,13,7,22,12,17,7
15,12,10,13,4,29,14,14,6
12,10,9,7,3,0,7,3,3
12,10,9,9,4,19,11,14,8
16,8,9,7,3,17,21,18,15
14,14,11,9,4,31,6,8,7
15,14,11,13,6,33,14,13,12
14,11,10,12,6,24,14,9,8
8,11,7,7,2,0,7,10,3
5,10,7,8,3,0,8,12,6
14,12,9,8,5,0,9,11,14
10,13,9,13,7,0,22,15,14
12,11,8,7,3,16,9,11,9
10,11,8,13,2,39,15,17,13
10,7,8,10,4,13,4,8,1
14,12,10,10,3,0,5,7,5
9,14,5,11,5,0,11,15,9
14,15,11,12,5,39,10,11,7
11,13,11,5,1,7,3,7,5
12,13,9,4,2,15,22,19,22
13,9,4,8,5,0,7,7,2
9,7,5,8,1,24,20,0,9
12,8,6,5,1,14,14,20,21
9,7,8,6,0,26,6,6,7
12,9,9,8,3,32,11,13,11
11,9,5,9,2,7,16,11,7
11,8,8,3,2,25,7,7,4
16,16,10,6,4,22,20,15,21
11,13,8,9,3,23,11,13,7
8,10,9,7,3,0,7,6,3
12,12,10,7,3,0,7,11,3
13,16,11,5,1,25,5,7,6
8,6,8,8,5,6,7,8,6
10,9,8,9,1,0,13,14,3
13,11,9,9,2,21,8,9,6
12,10,10,11,6,0,10,9,9
15,12,9,3,1,15,7,9,5
