id	name	value
A10XW6SNPNQX16	essay1	There will be a day where no one will rely on their own brain but that of a computer. I know it seems outlandish but it already is kind of happening now. Nearly everyone has a computer, smartphone, or access to one. If you want to know an answer, the world is figuratively at your fingertips. While it can dumb down people, I use it to learn new things. Before I would have to go to a mechanic or the library to learn h ow to change an alternator. Now, I can learn how to do it from the comfort of my bed, watching a video online.
A10XW6SNPNQX16	essay2	The major cities would have the most people to observe and learn from. Plus all major cities have a melting pot of people. I know personally, from living in Orlando, that you have all kinds of races, ethnicity, what have you. It's a great way to learn the characteristics of the main culture and then it's subcultures. You will see all of their homes, shops, etc.
A10XW6SNPNQX16	essay3	Yes, I agree, scandals help us in opening our eyes in realizing what is going on. Right now the greatest scandal is the #metoo movement. Yes, sexual harassment in the work place has been spoken about but it was nothing compared to the degree of what was actually going on. Now that all these scandals have been brought forward into the limelight, they can be dealt with instead of having the problem continued. Even though scandal is a taboo word, it does do good.
A110BZSDZN7E16	essay1	I have to agree with the statement as with technology, people are more dependent on it and less on themselves. It's now where technology automatically does so many things that humans tend to slack off on their responsibilities. The days of a person doing what has to be done have apparently fallen by the waste side and now we try to get it accomplished another way. While technology is good in many ways, it has made us more dependent on it and less dependent on ourselves. People used to be more into doing work and physical exercise but now they are more into playing computer games and other gaming devices.
A110BZSDZN7E16	essay2	It's true in most cases as major cities usually show the trends of what to come in the future elsewhere. It's very true in regards to fashion as once something starts off in a big city, it soon becomes the new fashion for the surrounding areas. Also, in regards to the economy as if the unemployment rates move in the major cities, other nearby will start to be effected and it just continues from there. No, not everything that takes place or occurs in the major cities will effect others but its a safe assumption that in the majority of cases, it happens. While small towns further out might not feel the effects, middle sized ones nearby almost always do.
A110BZSDZN7E16	essay3	Scandals are useful to an extent but not always in a good way. While they do point out what is wrong in a instant, they almost always affect several innocent people, and in some cases, a lot of people. Scandals bring to light something bad that happened in a frivolous or corrupt way, but only show you some of what actually happens. I mean, there are a lot of scandals out there that happen, but very few ever really come to light. It's true that some are exposed for what they really are but a good amount of them are never figured out, spotted, or uncovered. Sadly, with any scandal, someone always ends up being hurt.
A114INA2S32A8L	essay1	I am in absolute agreement with that statement. Working full time in the IT field, I see real world examples of this every day. Faxing, which used to be a common procedure has all but disappeared with the advent of email. I saw four young employees surrounding our one fax machine looking at it like a specimen from another planet, all offering their two cents on how it might work. On another front, my daughter rarely writes papers. She is going into 9th grade next year and hasn't hand written a report in almost two years. There are articles popping up on line in which a number of school systems across the country are debating whether or not to teach cursive writing while still others are debating on whether to do away with writing instruction all together. Pray there's never an electro-magnetic pulse, the entire next generation may lose their ability to communicate.
A114INA2S32A8L	essay2	"American inner cities are a gateway into the life of at least half of our society. While one might claim they are the forgotten wastelands of our country, others, in more rural areas, might accuse them of not wanting any help. Crime, violence, poverty are all abundant in our major cities, but are not a complete picture of our society or our values. But as mentioned, these are only a partial picture of our society. Outside of these major cities is ""fly over land"" where people are more spread out, and there lives an entirely different set of values. I content that one should look at a societies rural areas to see its characteristics."
A114INA2S32A8L	essay3	"Scandals can be useful in certain instances as long as the sources are to be believed. To have scandals run rampant without diligent fact checking is a disservice to everyone. Another benefit to scandals is they tend to involve the actions of the target of the scandal and not third parties. This tends to reveal the true nature of the target of the scandal in their rawest form. This form tends to be less admirable than the outer appearance that they try to project, but usually represents their ""true self"" which can be invaluable while making other determinations about things like credibility, honesty, integrity, etc. In the end, well investigated and verified scandals can be an invaluable tool in seeing the true nature of the people involved."
A12BPQY35PARUO	essay1	This is a fairly common belief but it is inaccurate as technology does not replace our ability to think.  When we sit down at a computer, we must still determine what we are going to do and how. Technology is a tool just as earlier humans used other tools to master their world.  No one would ever believe that the wheel made humans less able to think.  It simply made humans more able to travel and this in turn led to a multitude of new technologies and abilities.  While technology does make it easier to do things, such as math, it does not replace our thinking of what math is nor does it reduce the usefulness of things like math.
A12BPQY35PARUO	essay2	A city does hold a certain special place in a society, it is not enough to study only that and expect to find something that can be applied to everyone.  Cities gain a specific culture and this culture is relevant only to that city.  A person living in New York is very different than one living in Los Angeles but this is also true for cities much closer such as Buffalo.  To assume that a city is indicative of an entire population is not logical as there are too many differences in the cultures between cities and between urban and rural areas.
A12BPQY35PARUO	essay3	This can be accurate in certain situations but the problem is making inferences based on a small population size.  A single instance cannot be used to predict the behavior of a large population.  An example would be a murder in New York cannot be used to identify that all New Yorkers are murderers.  Another issue with this is that most people only hear the most sensationalized news and therefore, we skip over the large numbers of people who do not fit that mold.  Rarely do we hear good news on television and we cannot assume that the bad news we hear is more than a random occurrence in a population.
A12BTFPKFKKD2I	essay1	Technology has been playing a very large role in human existence for an extremely long time. At first technology was very simple, but now it seems to advance in an unstoppable way everyday. Some might argue that technology keeps people from thinking for themselves and making their own decisions, but this is simply not true. Technology is what empowers and pushes people to think more. With new technology, more and more is possible in the world. We see people inventing medical devices that save life, environmentally friendly means of energy, and new sources of food. When we use technology for these issues, we are able to make more. People live better and longer lives, the earth becomes better taken care of, and the disadvantaged in the world become more advantaged. Technology does not take away our ability to think, it instead allows us to think further. We can now ponder ideas that we were never able to imagine before. There is much more in front of us than we would have ever realized without the use of the technology that we currently have. When I look at technology, I see innovations and great minds doing more than ever before.
A12BTFPKFKKD2I	essay2	Major cities are host to a large number of the world's populations. These cities are site to many cultures, traditions, religions, and perspectives. People are not wrong when they say that many important characteristics of a society can be found here. However, it is not true that the most important ones are solely found here. Society as a whole is very large. It spans most corners of the globe and hundreds of countries. There are small villages and large cities, and it is important to consider both of these, as well as everything in between. By deciding that the most important characteristics or a society are only found in major cities, then so many people are removed from the equation. These are people with separate lives and ways of living. There are people who do not fit the standard mold of the major cities. There are millions of people in the small outlying areas that make up so much of the world. These traditions are just as important as ones in major cities. A way of life does not have to be the most popular one in order to be meaningful as well.
A12BTFPKFKKD2I	essay3	For some people, seeing really is believing. They can hear something a million times, but never really care to think about what they are hearing. This can largely be the case with speakers versus scandals. It can be easy to just dismiss what someone says. Why believe someone with no evidence of it? Why worry about something if it is not an issue already? However, when a scandal happens, everyone can see it. The proof is everywhere. It is real, tangible and in our faces. This kind of actual substance makes people realize that these problems do exist, because they are able to actually see it. Cases like these happen everyday where people are continually warned of an issue, but they ignore it until it breaks out into an actual scandal. Experts warn of things like over-fishing, destroying habitats, and global warming, but so many people turn a blind eye to these claims. But then suddenly, there are less of species, or you can no longer get your favorite seafood. Then you realize that it was true all along. It is very unfortunate that things have to work this way, but too many people cannot focus on more abstract ideas. They need tangible proof of it before they can ever accept it as fact.
