"","x"
"1",50.3333333333333
"2",31.6666666666667
"3",59.6666666666667
"4",64
"5",49.6666666666667
"6",39.6666666666667
"7",45
"8",56.6666666666667
"9",37.3333333333333
"10",39
"11",51.6666666666667
"12",51.6666666666667
"13",38.6666666666667
"14",48.6666666666667
"15",38.6666666666667
"16",40.6666666666667
"17",31.3333333333333
"18",25
"19",44.6666666666667
"20",58.6666666666667
"21",49.3333333333333
"22",37
"23",41.6666666666667
"24",53
"25",39.3333333333333
"26",37.6666666666667
"27",41.3333333333333
"28",35
"29",54.6666666666667
"30",54
"31",54.3333333333333
"32",38.6666666666667
"33",51.3333333333333
"34",40
"35",51.6666666666667
"36",44.3333333333333
"37",57.6666666666667
"38",45.6666666666667
"39",60.6666666666667
"40",60
"41",31.3333333333333
"42",39
"43",40.3333333333333
"44",63.3333333333333
"45",42
"46",26.6666666666667
"47",54
"48",44.6666666666667
"49",39
"50",50.3333333333333
"51",38
"52",52.6666666666667
"53",45.6666666666667
"54",37.6666666666667
"55",44.3333333333333
"56",45.3333333333333
"57",46.3333333333333
"58",45
"59",47.3333333333333
"60",39
"61",52
"62",49
"63",48
"64",60
"65",52
"66",44.6666666666667
"67",49.6666666666667
"68",39.3333333333333
"69",44
"70",57.6666666666667
"71",48.6666666666667
"72",46.3333333333333
"73",38.3333333333333
"74",48.3333333333333
"75",42
"76",42
"77",50
"78",43.3333333333333
"79",36.3333333333333
"80",39
"81",52
"82",35.3333333333333
"83",55.6666666666667
"84",44.6666666666667
"85",59
"86",40.3333333333333
"87",65.3333333333333
"88",31
"89",58
"90",57.3333333333333
"91",32.6666666666667
"92",51.6666666666667
"93",33.6666666666667
"94",37
"95",53.6666666666667
"96",39.6666666666667
"97",39.6666666666667
"98",50
"99",47.3333333333333
"100",18.6666666666667
"101",23.3333333333333
"102",44.6666666666667
"103",50.6666666666667
"104",45
"105",48.6666666666667
"106",44.3333333333333
"107",34.3333333333333
"108",48.3333333333333
"109",35.3333333333333
"110",34.6666666666667
"111",43.3333333333333
"112",56
"113",63.3333333333333
"114",33.3333333333333
"115",52
"116",32.6666666666667
"117",25.3333333333333
"118",48
"119",48
"120",44.3333333333333
"121",56.6666666666667
"122",34.3333333333333
"123",49.3333333333333
"124",46.3333333333333
"125",77
"126",33.3333333333333
"127",46.6666666666667
"128",38.6666666666667
"129",55.3333333333333
"130",53.6666666666667
"131",58
"132",45.3333333333333
"133",54
"134",56
"135",40
"136",60.6666666666667
"137",60.3333333333333
"138",30.6666666666667
"139",49
"140",54
"141",56
"142",61
"143",57.3333333333333
"144",35.3333333333333
"145",28.6666666666667
"146",49
"147",47.3333333333333
"148",48.3333333333333
"149",61
"150",35.6666666666667
"151",38.3333333333333
"152",43.6666666666667
"153",57
"154",33.3333333333333
"155",55.6666666666667
"156",35.6666666666667
"157",48.3333333333333
"158",47.3333333333333
"159",44.3333333333333
"160",44.6666666666667
"161",47
"162",34.3333333333333
"163",59.3333333333333
"164",54.6666666666667
"165",34
"166",39
"167",50
"168",37.3333333333333
"169",36
"170",50.3333333333333
"171",48
"172",41
"173",41.6666666666667
"174",49.3333333333333
"175",44.6666666666667
"176",41.3333333333333
"177",42.6666666666667
"178",47.6666666666667
"179",40.3333333333333
"180",41.6666666666667
"181",45.3333333333333
"182",41.6666666666667
"183",31.3333333333333
"184",58
"185",57
"186",42.6666666666667
"187",50
"188",45.6666666666667
"189",38.6666666666667
"190",42.6666666666667
"191",30.3333333333333
"192",41.6666666666667
"193",37.3333333333333
"194",54
"195",47.3333333333333
"196",51
"197",60.6666666666667
"198",49.6666666666667
"199",42.3333333333333
"200",33.3333333333333
"201",51.6666666666667
"202",36
"203",52.6666666666667
"204",29.3333333333333
"205",58
"206",48.6666666666667
"207",66.6666666666667
"208",40.6666666666667
"209",60.6666666666667
"210",51.6666666666667
"211",38.3333333333333
"212",62
"213",59.3333333333333
"214",33.3333333333333
"215",61.3333333333333
"216",50.6666666666667
"217",44.6666666666667
"218",49.3333333333333
"219",46.3333333333333
"220",42.3333333333333
"221",51.3333333333333
"222",41
"223",34.6666666666667
"224",54.6666666666667
"225",42.3333333333333
"226",70.6666666666667
"227",32.6666666666667
"228",39.3333333333333
"229",44.6666666666667
"230",40
"231",56.3333333333333
"232",35.6666666666667
"233",55
"234",43.6666666666667
"235",37
"236",41
"237",43.3333333333333
"238",43.6666666666667
"239",43.6666666666667
"240",36
"241",58.3333333333333
"242",54.6666666666667
"243",62
"244",45
"245",48
"246",25
"247",31.6666666666667
"248",48.3333333333333
"249",63
"250",44.6666666666667
"251",37
"252",36.6666666666667
"253",43.3333333333333
"254",36
"255",59
"256",31.3333333333333
"257",43.6666666666667
"258",44
"259",29.6666666666667
"260",37.6666666666667
"261",57
"262",66.6666666666667
"263",48
"264",49
"265",58.6666666666667
"266",47.3333333333333
"267",41.6666666666667
"268",43.3333333333333
"269",53.3333333333333
"270",50.6666666666667
"271",46.6666666666667
"272",30.6666666666667
"273",42.3333333333333
"274",53.6666666666667
"275",40.3333333333333
"276",34
"277",40.3333333333333
"278",49.6666666666667
"279",42.3333333333333
"280",55.3333333333333
"281",46.6666666666667
"282",43.6666666666667
"283",50.3333333333333
"284",64.3333333333333
"285",56.3333333333333
"286",46
"287",45.3333333333333
"288",56.3333333333333
"289",46.6666666666667
"290",49.3333333333333
"291",52.3333333333333
"292",36.6666666666667
"293",30.6666666666667
"294",31
"295",37.6666666666667
"296",39
"297",62.3333333333333
"298",47
"299",48.3333333333333
"300",45.3333333333333
"301",45.3333333333333
"302",47.3333333333333
"303",46.6666666666667
"304",35
"305",34.3333333333333
"306",27.6666666666667
"307",45.6666666666667
"308",38.3333333333333
"309",41.3333333333333
"310",50
"311",40.6666666666667
"312",28.3333333333333
"313",41.3333333333333
"314",43
"315",43
"316",49.6666666666667
"317",29.3333333333333
"318",49
"319",49.3333333333333
"320",48.3333333333333
"321",52.6666666666667
"322",53.3333333333333
"323",67.3333333333333
"324",63.3333333333333
"325",40
"326",50
"327",67.3333333333333
"328",31.3333333333333
"329",38.6666666666667
"330",37
"331",38.6666666666667
"332",36.6666666666667
"333",54.3333333333333
"334",47.6666666666667
"335",28
"336",34
"337",39
"338",50
"339",38.3333333333333
"340",53.6666666666667
"341",49.6666666666667
"342",31.3333333333333
"343",59
"344",47.6666666666667
"345",55.6666666666667
"346",59
"347",34.3333333333333
"348",30
"349",50.3333333333333
"350",48
"351",57.6666666666667
"352",35
"353",54.3333333333333
"354",37.3333333333333
"355",31.3333333333333
"356",45.6666666666667
"357",55.6666666666667
"358",50.6666666666667
"359",50.6666666666667
"360",61
"361",63
"362",50.6666666666667
"363",54.3333333333333
"364",55.3333333333333
"365",47.6666666666667
"366",50
"367",50.3333333333333
"368",43.3333333333333
