"","x"
"1",36
"2",16
"3",50
"4",41
"5",33
"6",31
"7",33
"8",58
"9",33
"10",36
"11",45
"12",52
"13",26
"14",47
"15",14
"16",28
"17",27
"18",24
"19",35
"20",35
"21",42
"22",13
"23",36
"24",51
"25",38
"26",49
"27",34
"28",20
"29",46
"30",56
"31",42
"32",35
"33",28
"34",25
"35",41
"36",43
"37",48
"38",33
"39",44
"40",51
"41",26
"42",43
"43",43
"44",46
"45",21
"46",25
"47",47
"48",49
"49",29
"50",30
"51",28
"52",51
"53",29
"54",21
"55",38
"56",25
"57",31
"58",40
"59",15
"60",30
"61",52
"62",51
"63",33
"64",38
"65",37
"66",49
"67",50
"68",31
"69",37
"70",41
"71",41
"72",47
"73",29
"74",29
"75",22
"76",47
"77",52
"78",34
"79",10
"80",30
"81",26
"82",23
"83",27
"84",33
"85",41
"86",36
"87",45
"88",22
"89",42
"90",35
"91",4
"92",23
"93",31
"94",22
"95",49
"96",46
"97",23
"98",51
"99",28
"100",21
"101",18
"102",44
"103",26
"104",31
"105",54
"106",28
"107",16
"108",25
"109",37
"110",46
"111",31
"112",33
"113",38
"114",32
"115",39
"116",21
"117",15
"118",51
"119",38
"120",23
"121",43
"122",26
"123",38
"124",43
"125",57
"126",20
"127",35
"128",40
"129",43
"130",41
"131",36
"132",33
"133",29
"134",46
"135",30
"136",42
"137",41
"138",33
"139",36
"140",36
"141",49
"142",48
"143",41
"144",29
"145",30
"146",41
"147",42
"148",36
"149",34
"150",27
"151",43
"152",33
"153",46
"154",42
"155",43
"156",31
"157",23
"158",30
"159",27
"160",30
"161",32
"162",30
"163",47
"164",38
"165",33
"166",37
"167",48
"168",26
"169",33
"170",37
"171",35
"172",42
"173",30
"174",42
"175",45
"176",29
"177",26
"178",33
"179",28
"180",29
"181",29
"182",17
"183",36
"184",37
"185",44
"186",40
"187",51
"188",45
"189",23
"190",45
"191",25
"192",45
"193",28
"194",39
"195",38
"196",37
"197",48
"198",56
"199",31
"200",13
"201",35
"202",27
"203",25
"204",15
"205",47
"206",30
"207",47
"208",35
"209",56
"210",33
"211",16
"212",35
"213",43
"214",10
"215",35
"216",43
"217",38
"218",34
"219",39
"220",35
"221",40
"222",39
"223",16
"224",49
"225",39
"226",50
"227",33
"228",14
"229",39
"230",34
"231",33
"232",34
"233",33
"234",41
"235",19
"236",37
"237",35
"238",27
"239",33
"240",38
"241",32
"242",40
"243",43
"244",35
"245",16
"246",21
"247",16
"248",46
"249",46
"250",37
"251",46
"252",20
"253",38
"254",36
"255",50
"256",27
"257",36
"258",51
"259",42
"260",52
"261",28
"262",54
"263",38
"264",34
"265",49
"266",40
"267",24
"268",37
"269",22
"270",21
"271",36
"272",31
"273",30
"274",35
"275",38
"276",21
"277",22
"278",38
"279",23
"280",43
"281",31
"282",30
"283",42
"284",42
"285",31
"286",45
"287",25
"288",41
"289",38
"290",42
"291",39
"292",34
"293",24
"294",23
"295",16
"296",40
"297",52
"298",36
"299",25
"300",31
"301",50
"302",36
"303",32
"304",32
"305",17
"306",26
"307",44
"308",35
"309",30
"310",38
"311",25
"312",18
"313",37
"314",34
"315",21
"316",36
"317",36
"318",39
"319",47
"320",36
"321",40
"322",44
"323",43
"324",50
"325",31
"326",49
"327",55
"328",23
"329",31
"330",30
"331",45
"332",44
"333",49
"334",47
"335",23
"336",8
"337",40
"338",44
"339",48
"340",35
"341",26
"342",31
"343",43
"344",47
"345",44
"346",51
"347",32
"348",27
"349",31
"350",24
"351",47
"352",35
"353",37
"354",28
"355",19
"356",41
"357",54
"358",50
"359",27
"360",32
"361",52
"362",32
"363",47
"364",47
"365",34
"366",54
"367",46
"368",20
