"","x"
"1",43
"2",25
"3",28
"4",60
"5",24
"6",23
"7",20
"8",22
"9",19
"10",26
"11",39
"12",36
"13",13
"14",25
"15",36
"16",23
"17",18
"18",3
"19",15
"20",42
"21",43
"22",44
"23",22
"24",44
"25",19
"26",25
"27",14
"28",24
"29",33
"30",38
"31",31
"32",21
"33",42
"34",45
"35",25
"36",23
"37",55
"38",23
"39",48
"40",29
"41",9
"42",60
"43",29
"44",34
"45",43
"46",25
"47",40
"48",28
"49",27
"50",22
"51",30
"52",23
"53",41
"54",43
"55",22
"56",28
"57",20
"58",24
"59",48
"60",26
"61",31
"62",42
"63",38
"64",49
"65",31
"66",37
"67",36
"68",16
"69",25
"70",36
"71",32
"72",41
"73",16
"74",28
"75",43
"76",26
"77",36
"78",20
"79",44
"80",20
"81",39
"82",19
"83",55
"84",20
"85",33
"86",26
"87",43
"88",5
"89",49
"90",25
"91",32
"92",27
"93",7
"94",23
"95",28
"96",19
"97",44
"98",15
"99",45
"100",23
"101",13
"102",28
"103",52
"104",36
"105",17
"106",19
"107",41
"108",38
"109",19
"110",29
"111",12
"112",36
"113",33
"114",14
"115",23
"116",12
"117",17
"118",28
"119",35
"120",40
"121",40
"122",11
"123",22
"124",34
"125",49
"126",8
"127",31
"128",30
"129",24
"130",34
"131",40
"132",21
"133",45
"134",25
"135",18
"136",36
"137",34
"138",13
"139",33
"140",54
"141",21
"142",39
"143",31
"144",20
"145",26
"146",34
"147",51
"148",29
"149",45
"150",13
"151",17
"152",35
"153",28
"154",15
"155",63
"156",16
"157",29
"158",55
"159",19
"160",35
"161",34
"162",18
"163",56
"164",31
"165",16
"166",21
"167",18
"168",21
"169",30
"170",23
"171",28
"172",21
"173",20
"174",19
"175",16
"176",30
"177",39
"178",44
"179",17
"180",28
"181",27
"182",43
"183",7
"184",46
"185",28
"186",23
"187",23
"188",26
"189",44
"190",37
"191",16
"192",33
"193",24
"194",34
"195",30
"196",23
"197",54
"198",27
"199",35
"200",32
"201",16
"202",15
"203",52
"204",29
"205",47
"206",21
"207",37
"208",21
"209",48
"210",25
"211",38
"212",43
"213",32
"214",42
"215",46
"216",34
"217",20
"218",19
"219",18
"220",29
"221",19
"222",20
"223",39
"224",24
"225",38
"226",50
"227",18
"228",43
"229",18
"230",12
"231",37
"232",13
"233",29
"234",45
"235",40
"236",27
"237",28
"238",42
"239",14
"240",24
"241",42
"242",33
"243",27
"244",18
"245",28
"246",8
"247",27
"248",29
"249",18
"250",17
"251",14
"252",12
"253",23
"254",18
"255",22
"256",20
"257",42
"258",15
"259",27
"260",9
"261",53
"262",49
"263",30
"264",26
"265",45
"266",32
"267",13
"268",36
"269",40
"270",65
"271",26
"272",19
"273",29
"274",27
"275",11
"276",36
"277",22
"278",34
"279",33
"280",45
"281",17
"282",33
"283",30
"284",40
"285",34
"286",24
"287",24
"288",44
"289",29
"290",41
"291",15
"292",26
"293",5
"294",16
"295",24
"296",9
"297",42
"298",28
"299",34
"300",56
"301",34
"302",46
"303",11
"304",15
"305",29
"306",3
"307",14
"308",12
"309",23
"310",36
"311",32
"312",27
"313",20
"314",24
"315",46
"316",17
"317",16
"318",32
"319",23
"320",19
"321",24
"322",35
"323",35
"324",36
"325",28
"326",23
"327",62
"328",15
"329",29
"330",28
"331",27
"332",28
"333",11
"334",16
"335",26
"336",34
"337",20
"338",43
"339",24
"340",27
"341",32
"342",11
"343",27
"344",21
"345",29
"346",53
"347",20
"348",6
"349",35
"350",24
"351",31
"352",22
"353",36
"354",15
"355",16
"356",24
"357",34
"358",36
"359",34
"360",34
"361",44
"362",18
"363",23
"364",36
"365",16
"366",18
"367",32
"368",34
