"WC1","Analytic1","Clout1","Authentic1","Tone1","WPS1","Sixltr1","Dic1","function1","pronoun1","ppron1","i1","we1","you1","shehe1","they1","ipron1","article1","prep1","auxverb1","adverb1","conj1","negate1","verb1","adj1","compare1","interrog1","number1","quant1","affect1","posemo1","negemo1","anx1","anger1","sad1","social1","family1","friend1","female","male1","cogproc1","insight1","cause1","discrep1","tentat1","certain1","differ1","percept1","see1","hear1","feel1","bio1","body1","health1","sexual1","ingest1","drives1","affiliation1","achieve1","power1","reward1","risk1","focuspast1","focuspresent1","focusfuture1","relativ1","motion1","space1","time1","work1","leisure1","home1","money1","relig1","death1","informal1","swear1","netspeak1","assent1","nonflu1","filler1","AllPunc1","Period1","Comma1","Colon1","SemiC1","QMark1","Exclam1","Dash1","Quote1","Apostro1","Parenth1","OtherP1","WC2","Analytic2","Clout2","Authentic2","Tone2","WPS2","Sixltr2","Dic2","function2","pronoun2","ppron2","i2","we2","you2","shehe2","they2","ipron2","article2","prep2","auxverb2","adverb2","conj2","negate2","verb2","adj2","compare2","interrog2","number2","quant2","affect2","posemo2","negemo2","anx2","anger2","sad2","social2","family2","friend2","female2","male2","cogproc2","insight2","cause2","discrep2","tentat2","certain2","differ2","percept2","see2","hear2","feel2","bio2","body2","health2","sexual2","ingest2","drives2","affiliation2","achieve2","power2","reward2","risk2","focuspast2","focuspresent2","focusfuture2","relativ2","motion2","space2","time2","work2","leisure2","home2","money2","relig2","death2","informal2","swear2","netspeak2","assent2","nonflu2","filler2","AllPunc2","Period2","Comma2","Colon2","SemiC2","QMark2","Exclam2","Dash2","Quote2","Apostro2","Parenth2","OtherP2","WC3","Analytic3","Clout3","Authentic3","Tone3","WPS3","Sixltr3","Dic3","function3","pronoun3","ppron3","i3","we3","you3","shehe3","they3","ipron3","article3","prep3","auxverb3","adverb3","conj3","negate3","verb3","adj3","compare3","interrog3","number3","quant3","affect3","posemo3","negemo3","anx3","anger3","sad3","social3","family3","friend3","female3","male3","cogproc3","insight3","cause3","discrep3","tentat3","certain3","differ3","percept3","see3","hear3","feel3","bio3","body3","health3","sexual3","ingest3","drives3","affiliation3","achieve3","power3","reward3","risk3","focuspast3","focuspresent3","focusfuture3","relativ3","motion3","space3","time3","work3","leisure3","home3","money3","relig3","death3","informal3","swear3","netspeak3","assent3","nonflu3","filler3","AllPunc3","Period3","Comma3","Colon3","SemiC3","QMark3","Exclam3","Dash3","Quote3","Apostro3","Parenth3","OtherP3","cdi1","cdi2","cdi3"
106,62.51,31.87,88.81,25.77,15.14,14.15,91.51,62.26,15.09,7.55,4.72,0,1.89,0,0.94,7.55,9.43,14.15,10.38,6.6,6.6,0.94,18.87,2.83,0.94,1.89,1.89,0,1.89,0.94,0.94,0,0.94,0,4.72,0,0,0,0,19.81,7.55,2.83,2.83,5.66,0.94,4.72,2.83,1.89,0,0.94,1.89,1.89,0,0,0,1.89,0,0,0.94,0.94,0,0.94,17.92,1.89,14.15,1.89,4.72,7.55,5.66,0.94,0.94,0,0,0,0.94,0.94,0,0,0,0,12.26,6.6,5.66,0,0,0,0,0,0,0,0,0,66,82.21,88.71,4.18,54.29,13.2,12.12,77.27,51.52,13.64,7.58,1.52,0,4.55,0,1.52,6.06,9.09,15.15,12.12,0,6.06,0,19.7,3.03,1.52,1.52,0,6.06,1.52,1.52,0,0,0,0,10.61,0,0,0,0,13.64,4.55,0,1.52,1.52,4.55,1.52,1.52,1.52,0,0,1.52,0,1.52,0,0,3.03,0,0,0,3.03,0,0,15.15,3.03,4.55,0,3.03,1.52,3.03,1.52,1.52,1.52,0,0,0,0,0,0,0,0,19.7,7.58,9.09,0,0,0,0,0,0,3.03,0,0,84,54.14,54.73,80.64,47.81,16.8,21.43,88.1,59.52,11.9,4.76,1.19,2.38,0,0,1.19,7.14,8.33,13.1,16.67,8.33,2.38,1.19,22.62,2.38,2.38,2.38,0,1.19,5.95,3.57,2.38,0,1.19,0,5.95,0,0,0,0,9.52,1.19,0,1.19,0,2.38,4.76,2.38,1.19,1.19,0,2.38,1.19,0,1.19,0,8.33,3.57,1.19,2.38,1.19,1.19,7.14,14.29,2.38,20.24,5.95,11.9,4.76,1.19,0,0,0,0,0,3.57,0,0,3.57,0,0,13.1,5.95,5.95,0,0,0,0,0,0,0,0,1.19,13.96,22.42,10.96
110,48.83,84.14,43.37,76.23,22,17.27,92.73,60,15.45,6.36,0.91,2.73,0,0,2.73,9.09,3.64,17.27,12.73,5.45,8.18,0,18.18,7.27,6.36,1.82,0,8.18,2.73,2.73,0,0,0,0,10,0,0,0,0,6.36,0.91,1.82,0,1.82,0,1.82,0,0,0,0,1.82,0,1.82,0,0,10.91,3.64,2.73,2.73,1.82,0,3.64,16.36,0,16.36,0.91,10.91,4.55,3.64,3.64,0,0,0,0,0.91,0,0,0.91,0,0,7.27,4.55,1.82,0,0,0,0,0,0,0.91,0,0,120,85.26,22.67,99,72.57,24,15.83,83.33,55.83,10.83,0,0,0,0,0,0,10.83,10,17.5,6.67,5.83,7.5,2.5,12.5,10,5,0.83,0.83,1.67,2.5,2.5,0,0,0,0,0.83,0,0,0,0,18.33,5,2.5,0.83,6.67,3.33,5.83,1.67,0.83,0,0.83,0,0,0,0,0,3.33,0,0,1.67,0.83,0.83,0,10.83,4.17,25.83,1.67,15.83,8.33,1.67,0,0,0.83,0,0,0,0,0,0,0,0,10.83,4.17,5,0,0,0,0,0,0,1.67,0,0,116,59.19,36.51,91.69,41.35,19.33,15.52,90.52,56.9,12.93,5.17,0.86,0,0.86,0,3.45,7.76,6.03,14.66,7.76,8.62,6.9,1.72,13.79,3.45,0,2.59,0,7.76,7.76,4.31,3.45,0,0,1.72,6.9,0,0,0,0,24.14,1.72,0.86,0,9.48,5.17,8.62,3.45,2.59,0,0.86,0,0,0,0,0,4.31,0,0,0.86,1.72,1.72,0.86,11.21,0,18.1,1.72,9.48,6.9,0,0,0,0,0,0,0,0,0,0,0,0,14.66,5.17,8.62,0,0,0,0,0,0,0.86,0,0,9.09999999999999,24.17,12.76
154,80.54,39.74,89.63,25.77,19.25,22.73,87.66,50,11.69,5.19,2.6,0.65,0,0.65,1.3,6.49,5.84,16.23,7.79,4.55,4.55,1.95,16.23,3.25,0.65,3.25,2.6,4.55,1.3,0.65,0.65,0,0,0.65,5.84,0.65,0,1.3,0,12.99,0.65,1.3,0,2.6,4.55,4.55,3.25,2.6,0,0.65,1.3,1.3,0,0,0,6.49,1.95,2.6,1.95,0,0.65,2.6,9.09,2.6,21.43,0.65,12.34,7.79,9.74,0,0,0.65,0.65,0,0,0,0,0,0,0,10.39,5.19,3.25,0,0,0,0,0.65,0,1.3,0,0,114,79.88,83.27,44.54,41.64,19,20.18,84.21,51.75,12.28,7.89,0.88,5.26,0,0,1.75,4.39,6.14,15.79,8.77,2.63,5.26,1.75,14.04,4.39,4.39,0.88,2.63,5.26,2.63,1.75,0.88,0,0,0,13.16,0,0,0,0,13.16,0,0,1.75,3.51,2.63,6.14,3.51,3.51,0,0,1.75,0,1.75,0,0,7.89,6.14,0,2.63,0,0,0.88,8.77,1.75,14.91,0.88,13.16,0.88,0,0,0.88,0.88,0,0,0,0,0,0,0,0,14.04,5.26,7.02,0,0,0,0,0,1.75,0,0,0,127,93.56,59.33,19.07,99,21.17,27.56,81.1,52.76,9.45,3.15,0,0,0,0,3.15,6.3,10.24,18.11,9.45,2.36,4.72,1.57,13.39,5.51,3.94,0.79,0.79,1.57,8.66,8.66,0,0,0,0,7.87,0,0,0,0,14.17,2.36,1.57,0,1.57,4.72,3.94,2.36,2.36,0,0,0,0,0,0,0,3.94,0.79,2.36,0,0.79,0,0.79,13.39,0,9.45,1.57,4.72,3.15,1.57,0.79,0,0.79,0,0,0.79,0,0,0,0.79,0,10.24,4.72,3.94,0,0,0,0,0,1.57,0,0,0,21.55,21.24,30.8
120,35.15,66.17,59.88,57.28,20,13.33,91.67,59.17,15.83,5,0,4.17,0,0,0.83,10.83,5,14.17,10.83,5.83,9.17,3.33,21.67,7.5,6.67,3.33,0.83,1.67,1.67,1.67,0,0,0,0,7.5,0,0,0,0,17.5,5,5,1.67,0.83,1.67,4.17,0,0,0,0,0,0,0,0,0,9.17,4.17,3.33,1.67,0,0,4.17,15.83,0.83,15,5,4.17,5,3.33,0.83,0,0,0.83,0,0,0,0,0,0,0,7.5,5,2.5,0,0,0,0,0,0,0,0,0,102,73.36,42.23,34.61,79.41,25.5,19.61,87.25,55.88,8.82,0,0,0,0,0,0,8.82,7.84,15.69,9.8,6.86,7.84,1.96,11.76,11.76,5.88,0,0.98,2.94,2.94,2.94,0,0,0,0,5.88,0,0,0,0,15.69,2.94,0,0.98,1.96,4.9,5.88,0,0,0,0,1.96,0,1.96,0,0,0.98,0,0.98,0,0.98,0,0,10.78,0.98,10.78,0,9.8,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,4.9,3.92,0.98,0,0,0,0,0,0,0,0,0,110,73.24,64.21,43.37,5.95,22,19.09,84.55,52.73,10.91,3.64,0,3.64,0,0,0,7.27,10.91,10.91,13.64,2.73,2.73,3.64,19.09,10,3.64,0.91,0.91,5.45,5.45,1.82,3.64,0,1.82,0,9.09,0,0,0,0,20,2.73,5.45,1.82,3.64,2.73,5.45,2.73,0,2.73,0,0,0,0,0,0,10,3.64,0,3.64,0.91,1.82,1.82,15.45,0.91,13.64,0.91,9.09,3.64,0,0.91,0,0,0,1.82,0,0,0,0,0,0,5.45,4.55,0.91,0,0,0,0,0,0,0,0,0,4.18000000000001,18.25,18.17
199,62.4,78.94,89.85,86.63,16.58,18.59,90.95,52.26,12.06,7.04,1.01,5.03,0,0,1.01,5.03,4.52,14.57,9.05,6.53,5.53,2.01,20.1,10.55,7.54,1.51,0.5,4.52,6.03,4.52,1.01,0,0.5,0,10.05,0,0.5,0,0,18.59,6.53,3.02,0.5,2.01,3.02,4.02,1.51,1.51,0,0,2.51,0,2.01,0,0.5,12.56,5.53,4.02,1.51,3.52,0.5,2.51,16.08,0.5,17.59,1.01,9.05,7.54,0,0.5,0,0,0,0,0,0,0,0,0,0,11.06,6.03,5.03,0,0,0,0,0,0,0,0,0,193,71.77,56.18,38.01,92.25,14.85,17.1,85.49,54.92,7.25,0.52,0,0,0,0,0.52,6.74,7.77,16.06,10.88,7.25,8.81,2.07,15.03,9.33,5.18,1.04,1.55,5.18,5.18,4.66,0.52,0,0,0,7.25,0,0,0,0,10.36,3.11,0.52,0,2.59,1.04,3.63,0.52,0,0.52,0,1.55,0,1.55,0,0,7.77,1.04,0,6.22,0,0.52,1.55,12.95,0.52,12.44,0.52,10.36,1.04,0,0,0,0,0.52,0,1.04,0,0,0,1.04,0,10.88,6.74,3.63,0,0,0,0,0,0,0.52,0,0,214,19.16,61.05,44,18.85,13.38,19.63,89.72,61.21,19.16,4.67,0,0.47,1.4,0,2.8,14.49,3.74,12.62,9.81,9.81,7.94,2.34,16.82,3.74,3.27,2.8,0.47,2.8,6.07,2.8,3.27,0.47,0.47,0,9.81,0,0,0,0,20.56,3.74,1.87,1.4,3.74,4.67,6.54,4.67,2.34,1.87,0.47,1.4,0.93,0.47,0,0,4.67,0.47,0.93,1.4,0.47,1.4,0.93,17.76,0.93,11.21,0.47,5.14,5.61,0.47,0.47,0,0,0,0,0,0,0,0,0,0,14.02,6.54,6.07,0,0,0.93,0,0.47,0,0,0,0,13.9,17.56,-2.70000000000001
121,77.51,74.59,18.87,57.02,24.2,21.49,89.26,51.24,13.22,7.44,0.83,0,0,0,6.61,5.79,4.96,16.53,9.09,0,8.26,0.83,19.01,9.09,9.09,0,0,6.61,6.61,4.13,2.48,0,0.83,0,10.74,0,0,0,0,17.36,5.79,7.44,1.65,0.83,1.65,1.65,0.83,0.83,0,0,0,0,0,0,0,9.09,0,3.31,3.31,1.65,0.83,0,12.4,6.61,9.09,0.83,4.96,3.31,0.83,0,0,0,0,0,1.65,0.83,0,0.83,0,0,6.61,4.13,0.83,0,0,0,0,0,0,1.65,0,0,103,94.53,75.18,33.52,90.17,17.17,21.36,82.52,46.6,5.83,0.97,0,0,0,0,0.97,4.85,7.77,17.48,8.74,3.88,4.85,0,13.59,11.65,11.65,0.97,0,5.83,3.88,3.88,0,0,0,0,8.74,0,0,0,0,11.65,1.94,0.97,1.94,4.85,0,1.94,0.97,0.97,0,0,0.97,0,0.97,0,0,8.74,1.94,0.97,4.85,0.97,0,0.97,9.71,0,16.5,0,12.62,3.88,0.97,0,0,0,0,0,0.97,0,0,0,0.97,0,6.8,5.83,0,0,0,0,0,0,0,0.97,0,0,134,65.49,67.28,34.79,68.05,22.33,22.39,89.55,56.72,12.69,5.97,0.75,1.49,0,0,3.73,6.72,8.96,14.18,10.45,3.73,9.7,1.49,20.9,3.73,3.73,3.73,1.49,3.73,3.73,2.99,0.75,0,0,0,9.7,0,0,0,0,20.9,2.24,4.48,2.99,8.96,2.24,4.48,0.75,0.75,0,0,0,0,0,0,0,8.21,1.49,2.99,1.49,3.73,0,2.99,16.42,0,14.18,3.73,6.72,3.73,4.48,0,0,0.75,0,0,0,0,0,0,0,0,5.97,4.48,0.75,0,0,0,0,0,0,0.75,0,0,20.08,31.96,15.08
114,78.09,36.27,94.69,74.74,19,25.44,92.11,51.75,12.28,10.53,3.51,0,0,0,7.02,1.75,6.14,16.67,5.26,2.63,9.65,2.63,17.54,5.26,3.51,1.75,0,4.39,7.02,4.39,1.75,0,0,0,7.89,0,0,0,0,20.18,8.77,4.39,0.88,2.63,0.88,5.26,0.88,0.88,0,0,0.88,0.88,0.88,0,0,16.67,0,7.02,7.02,0.88,1.75,0.88,11.4,0.88,14.04,2.63,6.14,4.39,8.77,0,0,0,0,0,0,0,0,0,0,0,8.77,5.26,3.51,0,0,0,0,0,0,0,0,0,82,63,86.38,32.6,99,16.4,18.29,86.59,48.78,7.32,2.44,0,2.44,0,0,0,4.88,4.88,14.63,9.76,8.54,9.76,0,15.85,8.54,4.88,1.22,0,3.66,6.1,6.1,0,0,0,0,14.63,0,0,0,0,13.41,1.22,1.22,1.22,3.66,2.44,6.1,1.22,1.22,0,0,3.66,0,3.66,0,0,10.98,4.88,0,4.88,1.22,0,0,10.98,3.66,12.2,0,8.54,2.44,3.66,0,0,0,0,0,0,0,0,0,0,0,14.63,6.1,6.1,0,0,0,0,0,0,2.44,0,0,90,77.33,81.29,23.51,94.19,18,23.33,83.33,52.22,12.22,5.56,0,4.44,0,0,1.11,6.67,7.78,15.56,10,2.22,7.78,1.11,13.33,8.89,6.67,0,0,4.44,8.89,5.56,1.11,0,0,0,7.78,0,0,0,0,12.22,6.67,2.22,0,1.11,0,2.22,2.22,1.11,0,1.11,0,0,0,0,0,11.11,4.44,1.11,4.44,2.22,0,1.11,11.11,2.22,7.78,1.11,3.33,3.33,3.33,0,0,2.22,0,0,0,0,0,0,0,0,10,5.56,2.22,0,0,0,0,0,0,2.22,0,0,20.36,14.13,20
82,45.86,54.84,32.6,1,16.4,20.73,84.15,47.56,8.54,4.88,0,3.66,0,0,1.22,3.66,3.66,10.98,10.98,6.1,7.32,3.66,24.39,3.66,3.66,2.44,0,4.88,6.1,1.22,4.88,0,0,2.44,8.54,0,0,0,0,23.17,7.32,3.66,3.66,6.1,1.22,7.32,1.22,0,0,1.22,1.22,1.22,0,0,0,19.51,3.66,12.2,1.22,0,3.66,3.66,15.85,1.22,7.32,2.44,2.44,2.44,7.32,0,0,0,0,0,2.44,0,0,1.22,1.22,0,12.2,6.1,3.66,0,1.22,0,0,1.22,0,0,0,0,63,92.84,89.78,13.15,99,15.75,26.98,82.54,50.79,14.29,7.94,0,4.76,0,0,3.17,6.35,9.52,19.05,4.76,4.76,4.76,0,14.29,9.52,6.35,0,0,1.59,9.52,9.52,0,0,0,0,9.52,0,0,0,0,12.7,4.76,1.59,0,6.35,0,1.59,4.76,3.17,1.59,0,1.59,1.59,0,0,0,7.94,4.76,1.59,0,1.59,0,0,6.35,4.76,7.94,0,4.76,3.17,0,3.17,1.59,0,0,0,1.59,0,0,0,1.59,0,9.52,4.76,1.59,0,0,0,0,0,3.17,0,0,0,67,76.36,72.47,10.38,99,33.5,28.36,83.58,52.24,7.46,2.99,0,2.99,0,0,0,4.48,11.94,10.45,8.96,8.96,5.97,1.49,11.94,4.48,1.49,1.49,0,1.49,10.45,8.96,0,0,0,0,7.46,0,0,0,0,25.37,5.97,2.99,0,5.97,7.46,2.99,2.99,0,2.99,0,0,0,0,0,0,4.48,2.99,0,1.49,0,0,1.49,10.45,1.49,4.48,0,1.49,2.99,0,0,0,0,1.49,0,2.99,0,0,0,2.99,0,17.91,5.97,10.45,0,0,0,0,0,0,1.49,0,0,8.03999999999999,30,19.54
123,21.16,68.71,75.83,40.38,17.57,17.07,87.8,62.6,18.7,8.13,0.81,4.88,2.44,0,0,10.57,2.44,16.26,12.2,10.57,5.69,3.25,17.89,5.69,4.88,1.63,0,3.25,2.44,0.81,0,0,0,0,9.76,0,0,0,0,21.14,5.69,1.63,2.44,2.44,2.44,8.13,0.81,0,0.81,0,0.81,0.81,0,0,0,11.38,4.88,0.81,4.07,1.63,0,2.44,17.07,2.44,13.01,0,8.13,4.88,0.81,0,0,0,0,0,0,0,0,0,0,0,8.94,4.88,1.63,0,0.81,0.81,0,0,0,0.81,0,0,114,70.02,60.39,19.27,74.74,16.29,20.18,81.58,48.25,11.4,2.63,0.88,0,0,0,1.75,8.77,5.26,14.04,10.53,4.39,5.26,0.88,15.79,4.39,0.88,2.63,0,4.39,2.63,2.63,0,0,0,0,6.14,0,0,0,0,8.77,2.63,1.75,1.75,0,1.75,1.75,1.75,1.75,0,0,0.88,0.88,0.88,0,0,1.75,0,0,0.88,0.88,0,4.39,9.65,0,12.28,0.88,7.02,4.39,3.51,0.88,0,3.51,0,0,0.88,0,0,0.88,0,0,15.79,5.26,1.75,0,4.39,0.88,0,0.88,1.75,0.88,0,0,111,75.57,76.45,30.96,1,18.5,20.72,82.88,54.05,11.71,5.41,1.8,0,0.9,2.7,0,6.31,2.7,19.82,9.01,9.01,3.6,0,15.32,1.8,0.9,1.8,2.7,3.6,5.41,0,5.41,0,2.7,0,9.91,0,0,0.9,2.7,6.31,0,0,0.9,2.7,1.8,1.8,3.6,0.9,2.7,0,1.8,0,0,1.8,0,6.31,0,1.8,2.7,0.9,0.9,8.11,5.41,0.9,18.02,1.8,10.81,6.31,0,0,0,0,0,0,0,0,0,0,0,0,9.91,5.41,0.9,0,1.8,0,0,0,1.8,0,0,0,-1.71,16.84,19.18
109,26.34,79.55,3.48,2.16,18.17,14.68,91.74,63.3,13.76,8.26,0.92,0.92,0,0,6.42,5.5,4.59,14.68,17.43,8.26,6.42,2.75,19.27,4.59,2.75,3.67,0.92,0.92,4.59,0.92,3.67,0.92,0,0.92,12.84,0,0,0,0,11.01,1.83,3.67,2.75,1.83,1.83,1.83,4.59,4.59,0,0,1.83,0,0,0,1.83,3.67,0.92,1.83,0,0,1.83,2.75,17.43,0.92,8.26,0,3.67,4.59,1.83,1.83,0.92,0,0,0,0,0,0,0,0,0,11.01,5.5,4.59,0,0,0,0,0,0,0.92,0,0,91,77.57,83.88,17.46,84.1,13,18.68,86.81,49.45,9.89,6.59,2.2,2.2,0,0,2.2,3.3,6.59,16.48,7.69,4.4,10.99,0,8.79,4.4,2.2,4.4,0,3.3,5.49,4.4,1.1,0,0,0,9.89,0,0,0,0,16.48,3.3,7.69,0,2.2,3.3,0,1.1,1.1,0,0,0,0,0,0,0,4.4,2.2,0,2.2,0,0,1.1,10.99,0,9.89,3.3,6.59,1.1,4.4,0,2.2,1.1,0,0,0,0,0,0,0,0,9.89,7.69,2.2,0,0,0,0,0,0,0,0,0,116,92.84,56.86,83,1,19.33,17.24,89.66,52.59,7.76,4.31,1.72,0.86,0,0,1.72,3.45,6.9,19.83,8.62,3.45,5.17,1.72,12.07,2.59,0.86,0,0,1.72,8.62,1.72,6.9,0.86,2.59,0.86,9.48,0,0,0,0,22.41,4.31,2.59,4.31,6.03,1.72,5.17,4.31,0,0.86,3.45,0.86,0,0.86,0,0,5.17,0.86,1.72,1.72,0,1.72,0,8.62,2.59,19.83,3.45,9.48,6.9,1.72,0,0,0.86,0,0.86,0.86,0,0,0.86,0,0,7.76,5.17,2.59,0,0,0,0,0,0,0,0,0,0.650000000000006,20.1,30.01
